Timestamp,HR,BR,Temp,Posture,Activity,Acceleration,Battery,BRAmplitude,ECGAmplitude,ECGNoise,XMin,XPeak,YMin,YPeak,ZMin,ZPeak
03/04/2023 10:17:12.428,59,22.1,-3276.8,177,0.15,0.27,3.917,63172.000,0.000940,0.000480,0.81,1.21,-0.19,0.14,-0.13,0.14
03/04/2023 10:17:13.428,59,20.5,-3276.8,176,0.13,0.34,3.917,63775.000,0.000940,0.000440,0.78,1.30,-0.18,0.13,-0.14,0.18
03/04/2023 10:17:14.428,59,19.6,-3276.8,174,0.14,0.25,3.917,64224.000,0.000920,0.001240,0.83,1.13,-0.20,0.03,-0.20,0.14
03/04/2023 10:17:15.428,59,19.1,-3276.8,172,0.13,0.22,3.917,64558.000,0.000920,0.000880,0.80,1.18,-0.20,0.12,-0.24,0.01
03/04/2023 10:17:16.428,59,18.8,-3276.8,170,0.10,0.24,3.917,64701.000,0.000880,0.000620,0.83,1.14,-0.24,-0.01,-0.26,0.12
03/04/2023 10:17:17.428,59,18.8,-3276.8,170,0.07,0.12,3.917,64914.000,0.000880,0.000800,0.80,1.00,-0.19,0.00,-0.13,0.01
03/04/2023 10:17:18.428,59,18.8,-3276.8,173,0.10,0.13,3.917,65072.000,0.000880,0.000540,0.89,0.96,-0.02,0.04,-0.12,-0.04
03/04/2023 10:17:19.428,59,18.8,-3276.8,175,0.05,0.07,3.916,65190.000,0.000880,0.000360,0.89,0.96,-0.01,0.03,-0.12,-0.06
03/04/2023 10:17:20.428,59,18.8,-3276.8,174,0.03,0.04,3.915,65278.000,0.000840,0.000240,0.90,0.96,-0.02,0.03,-0.13,-0.07
03/04/2023 10:17:21.428,60,18.7,-3276.8,173,0.02,0.09,3.915,65344.000,0.000840,0.000140,0.89,0.96,-0.16,0.03,-0.13,-0.07
03/04/2023 10:17:22.428,61,18.7,-3276.8,173,0.01,0.04,3.915,65392.000,0.000840,0.000140,0.89,0.97,-0.02,0.04,-0.12,-0.06
03/04/2023 10:17:23.428,62,18.7,-3276.8,174,0.01,0.03,3.915,58101.000,0.000840,0.000140,0.90,0.95,-0.02,0.03,-0.12,-0.04
03/04/2023 10:17:24.428,64,18.7,-3276.8,174,0.02,0.12,3.915,58639.000,0.000840,0.000100,0.87,0.97,-0.02,0.19,-0.09,-0.04
03/04/2023 10:17:25.428,66,18.7,-3276.8,175,0.01,0.04,3.915,60399.000,0.000840,0.000100,0.89,0.95,-0.03,0.06,-0.10,-0.03
03/04/2023 10:17:26.428,69,18.7,-3276.8,174,0.02,0.06,3.915,61710.000,0.001080,0.000100,0.87,0.95,0.00,0.07,-0.13,-0.06
03/04/2023 10:17:27.428,72,18.7,-3276.8,174,0.02,0.04,3.915,55835.000,0.001080,0.000080,0.89,0.96,-0.01,0.04,-0.13,-0.04
03/04/2023 10:17:28.428,68,18.7,-3276.8,174,0.01,0.03,3.915,58311.000,0.001000,0.000160,0.89,0.96,0.00,0.06,-0.12,-0.04
03/04/2023 10:17:29.428,67,18.3,-3276.8,174,0.02,0.04,3.915,57338.000,0.001000,0.000520,0.89,0.96,0.00,0.04,-0.13,-0.04
03/04/2023 10:17:30.428,66,16.6,-3276.8,174,0.02,0.07,3.915,59430.000,0.001000,0.000920,0.89,0.96,0.01,0.08,-0.13,0.00
03/04/2023 10:17:31.428,66,15.6,-3276.8,175,0.08,0.16,3.915,60988.000,0.001000,0.001700,0.86,0.98,-0.19,0.06,-0.14,-0.02
03/04/2023 10:17:32.428,66,15.0,-3276.8,173,0.08,0.16,3.915,60303.000,0.001000,0.001940,0.89,1.00,-0.21,0.02,-0.14,0.00
03/04/2023 10:17:33.428,66,14.7,-3276.8,176,0.04,0.07,3.914,59611.000,0.001000,0.001180,0.89,0.98,-0.04,0.01,-0.07,-0.01
03/04/2023 10:17:34.428,66,14.5,-3276.8,177,0.02,0.04,3.914,53515.000,0.001000,0.000740,0.89,0.97,-0.04,0.02,-0.09,-0.02
03/04/2023 10:17:35.428,67,14.3,-3276.8,176,0.05,0.22,3.914,56161.000,0.001000,0.001140,0.81,1.00,-0.02,0.20,-0.14,0.01
03/04/2023 10:17:36.428,67,14.1,-3276.8,176,0.03,0.10,3.914,58553.000,0.001000,0.001140,0.89,1.00,-0.01,0.19,-0.10,-0.02
03/04/2023 10:17:37.428,67,13.5,-3276.8,176,0.02,0.04,3.914,60335.000,0.001000,0.000780,0.89,0.95,0.00,0.06,-0.12,-0.02
03/04/2023 10:17:38.428,67,13.1,-3276.8,175,0.01,0.04,3.914,61662.000,0.001000,0.000500,0.89,0.97,-0.02,0.06,-0.10,-0.03
03/04/2023 10:17:39.428,67,13.0,-3276.8,175,0.03,0.04,3.914,62467.000,0.001000,0.000860,0.89,0.97,-0.02,0.06,-0.10,-0.03
03/04/2023 10:17:40.428,66,13.0,-3276.8,175,0.07,0.18,3.914,62909.000,0.001000,0.000700,0.81,1.01,-0.02,0.12,-0.14,0.09
03/04/2023 10:17:41.428,66,13.0,-3276.8,173,0.11,0.18,3.914,63579.000,0.001000,0.000700,0.89,0.98,-0.15,0.07,-0.31,-0.02
03/04/2023 10:17:42.428,66,13.0,-3276.8,173,0.06,0.16,3.914,64078.000,0.001000,0.000580,0.87,0.97,-0.18,-0.01,-0.14,-0.03
03/04/2023 10:17:43.428,66,13.0,-3276.8,174,0.05,0.10,3.914,63987.000,0.001000,0.000640,0.86,0.97,-0.01,0.08,-0.18,-0.03
03/04/2023 10:17:44.428,66,13.0,-3276.8,173,0.02,0.09,3.914,63940.000,0.001000,0.000440,0.89,0.98,-0.04,0.07,-0.15,-0.03
03/04/2023 10:17:45.428,66,13.0,-3276.8,173,0.03,0.04,3.914,64347.000,0.001000,0.000340,0.89,0.96,-0.02,0.03,-0.13,-0.06
